"ciudad";"codigoDane";"departamento";"bodega";"codigoBodega"
"Vigía Del Fuerte";"05873000";"Antioquia";"Bogotá";"ECF1"
"Barranquilla";"08001000";"Atlántico";"Bogotá";"ECF1"
"Baranoa";"08078000";"Atlántico";"Bogotá";"ECF1"
"Campo De La Cruz";"08137000";"Atlántico";"Bogotá";"ECF1"
"Candelaria";"08141000";"Atlántico";"Bogotá";"ECF1"
"Galapa";"08296000";"Atlántico";"Bogotá";"ECF1"
"Juan De Acosta";"08372000";"Atlántico";"Bogotá";"ECF1"
"Luruaco";"08421000";"Atlántico";"Bogotá";"ECF1"
"Malambo";"08433000";"Atlántico";"Bogotá";"ECF1"
"Manatí";"08436000";"Atlántico";"Bogotá";"ECF1"
"Palmar De Varela";"08520000";"Atlántico";"Bogotá";"ECF1"
"Piojó";"08549000";"Atlántico";"Bogotá";"ECF1"
"Polonuevo";"08558000";"Atlántico";"Bogotá";"ECF1"
"Ponedera";"08560000";"Atlántico";"Bogotá";"ECF1"
"Puerto Colombia";"08573000";"Atlántico";"Bogotá";"ECF1"
"Repelón";"08606000";"Atlántico";"Bogotá";"ECF1"
"Sabanagrande";"08634000";"Atlántico";"Bogotá";"ECF1"
"Sabanalarga";"08638000";"Atlántico";"Bogotá";"ECF1"
"Santa Lucía";"08675000";"Atlántico";"Bogotá";"ECF1"
"Santo Tomás";"08685000";"Atlántico";"Bogotá";"ECF1"
"Soledad";"08758000";"Atlántico";"Bogotá";"ECF1"
"Suan";"08770000";"Atlántico";"Bogotá";"ECF1"
"Tubará";"08832000";"Atlántico";"Bogotá";"ECF1"
"Usiacurí";"08849000";"Atlántico";"Bogotá";"ECF1"
"Bogotá, D.C.";"11001000";"Bogotá, D. C.";"Bogotá";"ECF1"
"Cartagena De Indias";"13001000";"Bolívar";"Bogotá";"ECF1"
"Achí";"13006000";"Bolívar";"Bogotá";"ECF1"
"Altos Del Rosario";"13030000";"Bolívar";"Bogotá";"ECF1"
"Arenal";"13042000";"Bolívar";"Bogotá";"ECF1"
"Arjona";"13052000";"Bolívar";"Bogotá";"ECF1"
"Arroyohondo";"13062000";"Bolívar";"Bogotá";"ECF1"
"Barranco De Loba";"13074000";"Bolívar";"Bogotá";"ECF1"
"Calamar";"13140000";"Bolívar";"Bogotá";"ECF1"
"Cantagallo";"13160000";"Bolívar";"Bogotá";"ECF1"
"Cicuco";"13188000";"Bolívar";"Bogotá";"ECF1"
"Córdoba";"13212000";"Bolívar";"Bogotá";"ECF1"
"Clemencia";"13222000";"Bolívar";"Bogotá";"ECF1"
"El Guamo";"13248000";"Bolívar";"Bogotá";"ECF1"
"El Peñón";"13268000";"Bolívar";"Bogotá";"ECF1"
"Hatillo De Loba";"13300000";"Bolívar";"Bogotá";"ECF1"
"Mahates";"13433000";"Bolívar";"Bogotá";"ECF1"
"Margarita";"13440000";"Bolívar";"Bogotá";"ECF1"
"María La Baja";"13442000";"Bolívar";"Bogotá";"ECF1"
"Montecristo";"13458000";"Bolívar";"Bogotá";"ECF1"
"Morales";"13473000";"Bolívar";"Bogotá";"ECF1"
"Norosí";"13490000";"Bolívar";"Bogotá";"ECF1"
"Pinillos";"13549000";"Bolívar";"Bogotá";"ECF1"
"Regidor";"13580000";"Bolívar";"Bogotá";"ECF1"
"Río Viejo";"13600000";"Bolívar";"Bogotá";"ECF1"
"San Cristóbal";"13620000";"Bolívar";"Bogotá";"ECF1"
"San Estanislao De Kostka";"13647000";"Bolívar";"Bogotá";"ECF1"
"San Fernando";"13650000";"Bolívar";"Bogotá";"ECF1"
"San Jacinto Del Cauca";"13655000";"Bolívar";"Bogotá";"ECF1"
"San Martín De Loba";"13667000";"Bolívar";"Bogotá";"ECF1"
"San Pablo";"13670000";"Bolívar";"Bogotá";"ECF1"
"Santa Catalina";"13673000";"Bolívar";"Bogotá";"ECF1"
"Santa Rosa De Lima";"13683000";"Bolívar";"Bogotá";"ECF1"
"Santa Rosa Del Sur";"13688000";"Bolívar";"Bogotá";"ECF1"
"Simití";"13744000";"Bolívar";"Bogotá";"ECF1"
"Soplaviento";"13760000";"Bolívar";"Bogotá";"ECF1"
"Talaigua Nuevo";"13780000";"Bolívar";"Bogotá";"ECF1"
"Puerto Rico";"13810000";"Bolívar";"Bogotá";"ECF1"
"Turbaco";"13836000";"Bolívar";"Bogotá";"ECF1"
"Turbaná";"13838000";"Bolívar";"Bogotá";"ECF1"
"Villanueva";"13873000";"Bolívar";"Bogotá";"ECF1"
"Zambrano";"13894000";"Bolívar";"Bogotá";"ECF1"
"Tunja";"15001000";"Boyacá";"Bogotá";"ECF1"
"Almeida";"15022000";"Boyacá";"Bogotá";"ECF1"
"Aquitania";"15047000";"Boyacá";"Bogotá";"ECF1"
"Arcabuco";"15051000";"Boyacá";"Bogotá";"ECF1"
"Belén";"15087000";"Boyacá";"Bogotá";"ECF1"
"Berbeo";"15090000";"Boyacá";"Bogotá";"ECF1"
"Betéitiva";"15092000";"Boyacá";"Bogotá";"ECF1"
"Boavita";"15097000";"Boyacá";"Bogotá";"ECF1"
"Boyacá";"15104000";"Boyacá";"Bogotá";"ECF1"
"Briceño";"15106000";"Boyacá";"Bogotá";"ECF1"
"Buenavista";"15109000";"Boyacá";"Bogotá";"ECF1"
"Busbanzá";"15114000";"Boyacá";"Bogotá";"ECF1"
"Caldas";"15131000";"Boyacá";"Bogotá";"ECF1"
"Campohermoso";"15135000";"Boyacá";"Bogotá";"ECF1"
"Cerinza";"15162000";"Boyacá";"Bogotá";"ECF1"
"Chinavita";"15172000";"Boyacá";"Bogotá";"ECF1"
"Chiquinquirá";"15176000";"Boyacá";"Bogotá";"ECF1"
"Chiscas";"15180000";"Boyacá";"Bogotá";"ECF1"
"Chita";"15183000";"Boyacá";"Bogotá";"ECF1"
"Chitaraque";"15185000";"Boyacá";"Bogotá";"ECF1"
"Chivatá";"15187000";"Boyacá";"Bogotá";"ECF1"
"Ciénega";"15189000";"Boyacá";"Bogotá";"ECF1"
"Cómbita";"15204000";"Boyacá";"Bogotá";"ECF1"
"Coper";"15212000";"Boyacá";"Bogotá";"ECF1"
"Corrales";"15215000";"Boyacá";"Bogotá";"ECF1"
"Covarachía";"15218000";"Boyacá";"Bogotá";"ECF1"
"Cubará";"15223000";"Boyacá";"Bogotá";"ECF1"
"Cucaita";"15224000";"Boyacá";"Bogotá";"ECF1"
"Cuítiva";"15226000";"Boyacá";"Bogotá";"ECF1"
"San Pedro De Iguaque";"15232000";"Boyacá";"Bogotá";"ECF1"
"Chivor";"15236000";"Boyacá";"Bogotá";"ECF1"
"Duitama";"15238000";"Boyacá";"Bogotá";"ECF1"
"El Cocuy";"15244000";"Boyacá";"Bogotá";"ECF1"
"El Espino";"15248000";"Boyacá";"Bogotá";"ECF1"
"Firavitoba";"15272000";"Boyacá";"Bogotá";"ECF1"
"Floresta";"15276000";"Boyacá";"Bogotá";"ECF1"
"Gachantivá";"15293000";"Boyacá";"Bogotá";"ECF1"
"Gámeza";"15296000";"Boyacá";"Bogotá";"ECF1"
"Garagoa";"15299000";"Boyacá";"Bogotá";"ECF1"
"Guacamayas";"15317000";"Boyacá";"Bogotá";"ECF1"
"Guateque";"15322000";"Boyacá";"Bogotá";"ECF1"
"Guayatá";"15325000";"Boyacá";"Bogotá";"ECF1"
"Güicán De La Sierra";"15332000";"Boyacá";"Bogotá";"ECF1"
"Iza";"15362000";"Boyacá";"Bogotá";"ECF1"
"Jenesano";"15367000";"Boyacá";"Bogotá";"ECF1"
"Jericó";"15368000";"Boyacá";"Bogotá";"ECF1"
"Labranzagrande";"15377000";"Boyacá";"Bogotá";"ECF1"
"La Capilla";"15380000";"Boyacá";"Bogotá";"ECF1"
"La Victoria";"15401000";"Boyacá";"Bogotá";"ECF1"
"La Uvita";"15403000";"Boyacá";"Bogotá";"ECF1"
"Villa De Leyva";"15407000";"Boyacá";"Bogotá";"ECF1"
"Macanal";"15425000";"Boyacá";"Bogotá";"ECF1"
"Maripí";"15442000";"Boyacá";"Bogotá";"ECF1"
"Miraflores";"15455000";"Boyacá";"Bogotá";"ECF1"
"Mongua";"15464000";"Boyacá";"Bogotá";"ECF1"
"Monguí";"15466000";"Boyacá";"Bogotá";"ECF1"
"Moniquirá";"15469000";"Boyacá";"Bogotá";"ECF1"
"Motavita";"15476000";"Boyacá";"Bogotá";"ECF1"
"Muzo";"15480000";"Boyacá";"Bogotá";"ECF1"
"Nobsa";"15491000";"Boyacá";"Bogotá";"ECF1"
"Nuevo Colón";"15494000";"Boyacá";"Bogotá";"ECF1"
"Oicatá";"15500000";"Boyacá";"Bogotá";"ECF1"
"Otanche";"15507000";"Boyacá";"Bogotá";"ECF1"
"Pachavita";"15511000";"Boyacá";"Bogotá";"ECF1"
"Páez";"15514000";"Boyacá";"Bogotá";"ECF1"
"Paipa";"15516000";"Boyacá";"Bogotá";"ECF1"
"Pajarito";"15518000";"Boyacá";"Bogotá";"ECF1"
"Panqueba";"15522000";"Boyacá";"Bogotá";"ECF1"
"Pauna";"15531000";"Boyacá";"Bogotá";"ECF1"
"Paya";"15533000";"Boyacá";"Bogotá";"ECF1"
"Paz De Río";"15537000";"Boyacá";"Bogotá";"ECF1"
"Pesca";"15542000";"Boyacá";"Bogotá";"ECF1"
"Pisba";"15550000";"Boyacá";"Bogotá";"ECF1"
"Puerto Boyacá";"15572000";"Boyacá";"Bogotá";"ECF1"
"Quípama";"15580000";"Boyacá";"Bogotá";"ECF1"
"Ramiriquí";"15599000";"Boyacá";"Bogotá";"ECF1"
"Ráquira";"15600000";"Boyacá";"Bogotá";"ECF1"
"Rondón";"15621000";"Boyacá";"Bogotá";"ECF1"
"Saboyá";"15632000";"Boyacá";"Bogotá";"ECF1"
"Sáchica";"15638000";"Boyacá";"Bogotá";"ECF1"
"Samacá";"15646000";"Boyacá";"Bogotá";"ECF1"
"San Eduardo";"15660000";"Boyacá";"Bogotá";"ECF1"
